NAME,ADDRESS,TINH,CITY
BHX 97 Hòa Hưng,"97 đường Hòa Hưng, Phường 12, Quận 10, thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 3A73/1 Ấp 3 Phạm Văn Hai,"3A73/1 ấp 3, xã Phạm Văn Hai, huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 166A Trần Văn Quang,"166A Trần Văn Quang, P. 10, Q. Tân Bình (Khúc cua chợ Trần Văn Quang",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 10-12 Nhiêu Tâm,"10 - 12 Nhiêu Tâm, P.5, Q.5, TP. HCM (Đối diện cổng chợ Hòa Bình",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 42/20A Nguyễn Giản Thanh,"42/20A Nguyễn Giản Thanh, P. 15, Q. 10 (Ngay góc ngã 3 hẻm 138 đối diện chợ thuốc Nguyễn Giản Thanh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 427B Tân Thạnh Đông,"427A Tỉnh Lộ 15, Ấp 8, Xã Tân Thạnh Đông, H. Củ Chi (Đối diện chợ chiều Tân Thạnh Đông",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 162 An Dương Vương,"162 An Dương Vương, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 1/99A Đình Phong Phú,"1/99A Đường Đình Phong Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 205 Lã Xuân Oai,"205 Lã Xuân Oai, Khu phố 4, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 415 Đường số 10,"415 Đường số 10, P. 8, Q. Gò Vấp (Đối diện trường Cao Đẳng Miền Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 123 Trần Hữu Trang,"123 Trần Hữu Trang, P. 10, Q. Phú Nhuận (Cách chợ Trần Hữu Trang 10m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 115 Xóm Chiếu,"115-115B Xóm Chiếu, Phường 16, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 164 Bùi Tư Toàn,"164 Bùi Tư Toàn, P. An Lạc, Q. Bình Tân",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 141 Hoàng Diệu 2,"141 Hoàng Diệu 2, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 111 Lê Đức Thọ,"111 Lê Đức Thọ, P. 17, Q. Gò Vấp (Ngay đầu chợ Căn Cứ - cổng Lê Đức Thọ",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 597 Nguyễn Văn Quá,"597 Nguyễn Văn Quá, P. Đông Hưng Thuận, Q. 12 (Cạnh trạm y tế phường Đông Hưng Thuận",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 946 Lê Văn Lương,"946 Lê Văn Lương, Ấp 3, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 28 Trịnh Đình Thảo,"28 Trịnh Đình Thảo, P. Hòa Thạnh, Q. Tân Phú (Cạnh trường CĐ Công Nghệ Thông Tin cách Chung cư Trung Đông 50m",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 962 Hà Huy Giáp,"53/3A Hà Huy Giáp, Khu Phố 2, P. Thạnh Lộc, Q. 12 (Ngay ngã ba Chợ Đường",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 63 Nguyễn Đỗ Cung,"63 Nguyễn Đỗ Cung, P. Tây Thạnh, Q. Tân Phú",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 278 Phạm Văn Chiêu,"278 Phạm Văn Chiêu, P.9, Q. Gò Vấp (Cạnh Điện Máy Xanh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 8 Dương Vân Nga,"8 Dương Vân Nga, P. 3, Q. Tân Bình (Sau lưng chợ Phạm Văn Hai",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 49 Lý Phục Man,"49 Lý Phục Man, Phường Bình Thuận, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 602 Nguyễn Duy Trinh,"602 Nguyễn Duy Trinh , Khu phố 2, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 43A Bình Thành,"43A Bình Thành, P. Bình Hưng Hòa B, Q. Bình Tân (Ngay chợ Bình Thành Mới",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 25 Nguyễn Khoái,"25 Nguyễn Khoái, Phường 01, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 3425 Phạm Thế Hiển,"3425-3427 Phạm Thế Hiển, Phường 7, Quận 8, Thành Phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 423 Bình Thành,"423 Bình Thành, P. Bình Hưng Hòa B, Q. Bình Tân",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 14 Đường số 2,"14 Đường Số 2, P. Bình Hưng Hòa, Q. Bình Tân",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 42 Lê Văn Chí,"40-40A-42-44 Lê Văn Chí, Khu phố 1, Phường Linh Trung, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX Số 2-2A Đường số 17,"Số 2-2A Đường số 17, Phường Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh (Ngay ngã ba Đường Số 17 - Mai Văn Vĩnh (góc chợ Chiều đường số 17",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 393 Hương Lộ 3,"393 Hương Lộ 3, P. Bình Hưng Hòa, Q. Bình Tân (Đối diện chung cư Celadon City Tân Phú",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 110 Đường TCH36,"110 Tân Chánh Hiệp 36, P. Tân Chánh Hiệp, Q. 12",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 138 Lý Thánh Tông,"138 Lý Thánh Tông, P. Hiệp Tân, Q. Tân Phú",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX C5/5E Dân Công Hỏa Tuyến,"C5/5E Dân Công Hỏa Tuyến, Vĩnh Lộc A, H. Bình Chánh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX A9/13 Đường 1A,Vĩnh Lộc B,TP. Hồ Chí Minh,TP. HO CHI MINH
BHX A8/17 Đường 1A,"A8/17 Đường 1A, Ấp 1, Xã Vĩnh Lộc B, H. Bình Chánh",TP. Hồ Chí Minh,TP. HO CHI MINH
BHX 22I-22I/2 Hiệp Thành 13,"22i Hiệp Thành 13, P. Hiệp Thành, Q. 12 (Cách cổng chợ Hiệp Thành 200m",TP. Hồ Chí Minh,TP. HO CHI MINH
