STT,Địa chỉ
75,"1765 Quốc Lộ 50, X. Phong Phú, H. Bình Chánh, TP. Hồ Chí Minh"
76,"245A Nguyễn Thị Tú, (Cách Ngã Tư Khu Dân Cư Vĩnh Lộc 100m) P. Bình Hưng Hoà B, Q. Bình Tân, TP. Hồ Chí Minh"
77,"214 Hiệp Bình, P. Hiệp Bình Chánh, TP. Thủ Đức, TP. Hồ Chí Minh"
78,"91 Ngô Quyền (Ngã Ba Ngô Quyền - Tân Phước), P. 6, Q. 10, TP. Hồ Chí Minh"
79,"420/1B Vườn Lài (Ngay Chợ Tự Phát An Phú Đông), P. An Phú Đông, Q. 12, TP. Hồ Chí Minh"
80,"405 Hương Lộ 3 (Đối Diện Chung Cư Celadon City), P. Bình Hưng Hoà, Q. Bình Tân, TP. Hồ Chí Minh"
81,"1575 Trần Văn Giàu (Ngay Chợ Bà Lát), X. Lê Minh Xuân, H. Bình Chánh, TP. Hồ Chí Minh"
82,"35 Nguyễn Thị Búp (Cách Ngã Ba Nguyễn Thị Búp - Nguyễn Ảnh Thủ 200m), P. Hiệp Thành, Q. 12, TP. Hồ Chí Minh"
83,"E10-15D1 Thới Hòa (Gần Trường Tiểu Học), X. Vĩnh Lộc A, H. Bình Chánh, TP. Hồ Chí Minh"
84,"791 Nguyễn Xiển (Ngã Ba Phước Thiện), P. Long Thạnh Mỹ, TP. Thủ Đức, TP. Hồ Chí Minh"
85,"21 Lê Cao Lãng, P. Phú Thạnh, Q. Tân Phú, TP. Hồ Chí Minh"
86,"670 Nguyễn Thị Định (Ngay Trường Tiểu Học Thạnh Mỹ Lợi), P. Thạnh Mỹ Lợi, TP. Thủ Đức, TP. Hồ Chí Minh"
87,"288-290 Võ Văn Tần, P. 5, Q. 3, TP. Hồ Chí Minh"
88,"60F/21 Nguyễn Thị Kiểu (Ngay Ngã Ba), P. Hiệp Thành, Q. 12, TP. Hồ Chí Minh"
89,"2914 Trần Văn Giàu (Cách Chợ Cầu Xáng 280m), X. Phạm Văn Hai, H. Bình Chánh, TP. Hồ Chí Minh"
90,"239 Cao Đạt, P. 1, Q. 5, TP. Hồ Chí Minh"
91,"68 Đường Số 8 (Kế Bên Chợ Xuân Hiệp), P. Linh Xuân, TP. Thủ Đức, TP. Hồ Chí Minh"
92,"28 Yên Thế (Ngay Ngã Ba), P. 2, Q. Tân Bình, TP. Hồ Chí Minh"
93,"121 Liên Khu 5-6, P. Bình Hưng Hoà B, Q. Bình Tân, TP. Hồ Chí Minh"
94,"402 An Phú Tây (Cách Khu Dân Cư An Phú Tây 70m), X. An Phú Tây, H. Bình Chánh, TP. Hồ Chí Minh"
95,"45/3 Tô Ngọc Vân (Cách Cầu Bà The 100m), P. Thạnh Xuân, Q. 12, TP. Hồ Chí Minh"
96,"154 Hòa Hưng (Gần UBND), P. 13, Q. 10, TP. Hồ Chí Minh"
97,"1KA Bình Giã (Cách Ngã Ba Trường Chinh 200m), P. 13, Q. Tân Bình, TP. Hồ Chí Minh"
98,"61 Hoà Bình (Đối Diện Trường Đại Học Hồng Bàng), P. Tân Thới Hoà, Q. Tân Phú, TP. Hồ Chí Minh"
99,"236 Nguyễn Văn Nghi (Ngay Ngã Ba), P. 7, Q. Gò Vấp, TP. Hồ Chí Minh"
100,"100/3 Hồ Văn Tư (Phía Sau Chợ Thủ Đức), P. Trường Thọ, TP. Thủ Đức, TP. Hồ Chí Minh"
101,"35 Quách Văn Tuấn (Trước Chung Cư K300), P. 12, Q. Tân Bình, TP. Hồ Chí Minh"
102,"252 Man Thiện (Đối Diện Chung Cư C5, C6 Man Thiện), P. Tăng Nhơn Phú A, TP. Thủ Đức, TP. Hồ Chí Minh"
103,"309A Bùi Hữu Nghĩa (Đối Diện Giáo Xứ Gia Định), P. 1, Q. Bình Thạnh, TP. Hồ Chí Minh"
104,"66/12 Bình Thành (Cách Nha Khoa Tâm Đức 30m), P. Bình Hưng Hoà B, Q. Bình Tân, TP. Hồ Chí Minh"
105,"102/5 Nguyễn Văn Tạo (Gần Ngã Tư Long Hậu), X. Hiệp Phước, H. Nhà Bè, TP. Hồ Chí Minh"
106,"63/3 Thái Thị Giữ, X. Bà Điểm, H. Hóc Môn, TP. Hồ Chí Minh"
107,"538 Bis Xô Viết Nghệ Tĩnh, P. 25, Q. Bình Thạnh, TP. Hồ Chí Minh"
108,"369 Nơ Trang Long (Gần Ngã Tư), P. 13, Q. Bình Thạnh, TP. Hồ Chí Minh"
109,"519A Phạm Văn Chiêu (Ngay Ngã Tư), P. 13, Q. Gò Vấp, TP. Hồ Chí Minh"
110,"60/6 Tân Thới Nhất 01, P. Tân Thới Nhất, Q. 12, TP. Hồ Chí Minh"
111,"42 Nguyễn Kiệm (Vòng Xoay Nguyễn Thái Sơn), P. 3, Q. Gò Vấp, TP. Hồ Chí Minh"
112,"356 Phạm Hùng (Gần Nhà Thờ Nam Hải), P. 5, Q. 8, TP. Hồ Chí Minh"
113,"487 Âu Cơ, P. Phú Trung, Q. Tân Phú, TP. Hồ Chí Minh"
